FarmID,Sampling,Test,Conc,Notes
R83,G,BAB,0,lab error
R88,G,BAB,0,lab error
R92,H,BAB,0,lab error
R42,A,BAB,0,LAB ERROR
R49,B,BAB,0,LAB ERROR
R78,B,BAB,0,LAB ERROR
R79,B,BAB,0,LAB ERROR
R80,B,BAB,0,LAB ERROR
R32,C,BAB,0,LAB ERROR
R101,C,BAB,0,lab error
R93,D,BAB,0,lab error
R86,E,BAB,0,lab error
R96,E,BAB,0,lab error
R100,E,BAB,0,lab error
R101,E,BAB,0,lab error
R82,G,BAB,4.5,NA
R90,G,BAB,4.5,NA
R99,G,BAB,4.5,NA
R98,H,BAB,4.5,NA
R5,A,BAB,4.5,NA
R23,A,BAB,4.5,NA
R25,A,BAB,4.5,NA
R44,A,BAB,4.5,NA
R72,B,BAB,4.5,NA
R1,B,BAB,4.5,NA
R69,B,BAB,4.5,NA
R82,B,BAB,4.5,NA
R70,C,BAB,4.5,NA
R1,C,BAB,4.5,NA
R20,C,BAB,4.5,NA
R6,D,BAB,4.5,NA
R87,D,BAB,4.5,NA
R76,C,BAB,4.5,NA
R53,E,BAB,4.5,NA
R58,E,BAB,4.5,NA
R70,E,BAB,4.5,NA
R26,F,BAB,4.5,NA
R50,F,BAB,4.5,NA
R66,F,BAB,4.5,NA
R69,F,BAB,4.5,NA
R70,F,BAB,4.5,NA
R81,F,BAB,4.5,NA
R82,F,BAB,4.5,NA
R22,B,BAB,18,NA
R80,G,BAB,19,NA
R2,A,BAB,19,NA
R11,A,BAB,19,NA
R14,A,BAB,19,NA
R19,A,BAB,19,NA
R22,A,BAB,19,NA
R31,A,BAB,19,NA
R36,A,BAB,19,NA
R43,A,BAB,19,NA
R50,A,BAB,19,NA
R64,A,BAB,19,NA
R69,A,BAB,19,NA
R70,B,BAB,19,NA
R75,B,BAB,19,NA
R31,B,BAB,19,NA
R14,B,BAB,19,NA
R20,B,BAB,19,NA
R50,B,BAB,19,NA
R55,B,BAB,19,NA
R2,C,BAB,19,NA
R31,D,BAB,19,NA
R70,D,BAB,19,NA
R15,D,BAB,19,NA
R22,D,BAB,19,NA
R23,D,BAB,19,NA
R90,D,BAB,19,NA
R50,E,BAB,19,lab error
R79,E,BAB,19,NA
R69,E,BAB,19,NA
R77,E,BAB,19,NA
R37,F,BAB,19,NA
R38,F,BAB,19,NA
R49,F,BAB,19,NA
R28,F,BAB,19,NA
R58,F,BAB,19,NA
R59,F,BAB,19,NA
R61,F,BAB,19,NA
R76,F,BAB,19,NA
R86,F,BAB,19,NA
R73,G,BAB,19,NA
R8,A,BAB,38,NA
R15,A,BAB,38,NA
R65,A,BAB,38,NA
R35,C,BAB,38,NA
R36,C,BAB,38,NA
R82,C,BAB,38,NA
R49,E,BAB,38,NA
R1,A,BAB,40,NA
R3,A,BAB,40,NA
R20,A,BAB,40,NA
R21,A,BAB,40,NA
R27,A,BAB,40,NA
R29,A,BAB,40,NA
R32,A,BAB,40,NA
R37,A,BAB,40,NA
R66,A,BAB,40,NA
R73,B,BAB,40,NA
R74,B,BAB,40,NA
R76,B,BAB,40,NA
R5,B,BAB,40,NA
R8,C,BAB,40,NA
R10,C,BAB,40,NA
R11,C,BAB,40,NA
R52,C,BAB,40,NA
R69,C,BAB,40,NA
R77,C,BAB,40,NA
R1,D,BAB,40,NA
R49,D,BAB,40,NA
R76,D,BAB,40,NA
R77,D,BAB,40,NA
R31,E,BAB,40,NA
R38,E,BAB,40,NA
R82,E,BAB,40,NA
R77,F,BAB,40,NA
R84,F,BAB,40,NA
R85,F,BAB,40,NA
R89,F,BAB,40,NA
R71,G,BAB,40,NA
R72,G,BAB,40,NA
R90,E,BAB,58,NA
R47,D,BAB,61,NA
R79,D,BAB,61,NA
R87,E,BAB,61,NA
R87,G,BAB,64,NA
R10,A,BAB,64,NA
R12,A,BAB,64,NA
R57,A,BAB,64,NA
R59,A,BAB,64,NA
R62,A,BAB,64,NA
R38,B,BAB,64,NA
R25,B,BAB,64,NA
R60,B,BAB,64,NA
R90,B,BAB,64,NA
R31,C,BAB,64,NA
R26,C,BAB,64,NA
R14,C,BAB,64,NA
R66,B,BAB,64,NA
R65,D,BAB,64,NA
R69,D,BAB,64,NA
R88,D,BAB,64,NA
R76,E,BAB,64,NA
R30,F,BAB,64,NA
R53,F,BAB,64,NA
R88,F,BAB,64,NA
R95,G,BAB,64,NA
R33,F,BAB,81,NA
R98,G,BAB,86,NA
R48,A,BAB,86,NA
R36,B,BAB,86,NA
R58,B,BAB,86,NA
R63,B,BAB,86,NA
R59,C,BAB,86,NA
R44,F,BAB,86,NA
R7,A,BAB,90,NA
R30,A,BAB,90,NA
R35,A,BAB,90,NA
R45,A,BAB,90,NA
R53,A,BAB,90,NA
R54,A,BAB,90,NA
R87,B,BAB,90,NA
R30,C,BAB,90,NA
R71,C,BAB,90,NA
R73,C,BAB,90,NA
R91,C,BAB,90,NA
R100,C,BAB,90,NA
R18,C,BAB,90,NA
R14,D,BAB,90,NA
R25,D,BAB,90,NA
R60,D,BAB,90,NA
R61,D,BAB,90,NA
R37,E,BAB,90,NA
R60,E,BAB,90,NA
R80,E,BAB,90,NA
R29,F,BAB,90,NA
R31,F,BAB,90,NA
R34,F,BAB,90,NA
R56,F,BAB,90,NA
R65,F,BAB,90,NA
R83,F,BAB,90,NA
R92,G,BAB,90,NA
R15,B,BAB,110,NA
R60,C,BAB,110,NA
R61,C,BAB,110,NA
R89,D,BAB,110,NA
R48,E,BAB,110,NA
R55,E,BAB,110,NA
R71,E,BAB,110,NA
R88,E,BAB,110,NA
R32,F,BAB,110,NA
R71,F,BAB,110,NA
R90,F,BAB,110,NA
R74,G,BAB,110,NA
R81,G,BAB,120,NA
R95,H,BAB,120,NA
R16,A,BAB,120,NA
R17,A,BAB,120,NA
R39,A,BAB,120,NA
R56,A,BAB,120,NA
R58,A,BAB,120,NA
R63,A,BAB,120,NA
R67,A,BAB,120,NA
R71,B,BAB,120,NA
R37,B,BAB,120,NA
R7,B,BAB,120,NA
R21,B,BAB,120,NA
R23,B,BAB,120,NA
R65,B,BAB,120,NA
R40,C,BAB,120,NA
R99,C,BAB,120,NA
R7,C,BAB,120,NA
R13,C,BAB,120,NA
R36,D,BAB,120,NA
R18,D,BAB,120,NA
R20,D,BAB,120,NA
R58,D,BAB,120,NA
R32,E,BAB,120,NA
R61,E,BAB,120,NA
R63,E,BAB,120,NA
R36,F,BAB,120,NA
R39,F,BAB,120,NA
R25,F,BAB,120,NA
R75,G,BAB,120,NA
R52,A,BAB,140,NA
R28,B,BAB,140,NA
R49,A,BAB,150,NA
R53,B,BAB,150,NA
R59,B,BAB,150,NA
R83,B,BAB,150,NA
R56,C,BAB,150,NA
R8,D,BAB,150,NA
R4,A,BAB,160,NA
R33,A,BAB,160,NA
R46,A,BAB,160,NA
R55,A,BAB,160,NA
R68,A,BAB,160,NA
R29,B,BAB,160,NA
R51,B,BAB,160,NA
R8,B,BAB,160,NA
R81,B,BAB,160,NA
R88,B,BAB,160,NA
R38,C,BAB,160,NA
R22,C,BAB,160,NA
R23,C,BAB,160,NA
R27,C,BAB,160,NA
R34,C,BAB,160,NA
R72,C,BAB,160,NA
R88,C,BAB,160,NA
R85,C,BAB,160,NA
R30,D,BAB,160,NA
R38,D,BAB,160,NA
R44,E,BAB,160,NA
R72,E,BAB,160,NA
R68,E,BAB,160,NA
R40,F,BAB,160,NA
R48,F,BAB,160,NA
R98,F,BAB,160,NA
R27,F,BAB,160,NA
R84,C,BAB,170,NA
R46,E,BAB,170,NA
R89,E,BAB,170,NA
R74,F,BAB,170,NA
R91,F,BAB,170,NA
R67,F,BAB,170,NA
