FarmID,Sampling,Test,Conc,Notes
R89,G,BAB,190,NA
R96,H,BAB,190,NA
R30,B,BAB,190,NA
R25,C,BAB,190,NA
R45,C,BAB,190,NA
R9,D,BAB,190,NA
R56,D,BAB,190,NA
R29,E,BAB,190,NA
R73,F,BAB,190,NA
R87,F,BAB,190,NA
R93,H,BAB,200,NA
R18,A,BAB,200,NA
R38,A,BAB,200,NA
R24,B,BAB,200,NA
R27,B,BAB,200,NA
R50,C,BAB,200,NA
R58,C,BAB,200,NA
R71,D,BAB,200,NA
R27,D,BAB,200,NA
R68,D,BAB,200,NA
R24,F,BAB,200,NA
R79,F,BAB,200,NA
R79,G,BAB,200,NA
R47,C,BAB,220,NA
R49,C,BAB,220,NA
R28,D,BAB,220,NA
R46,D,BAB,220,NA
R39,E,BAB,220,NA
R60,A,BAB,240,NA
R48,B,BAB,240,NA
R75,C,BAB,240,NA
R94,C,BAB,240,NA
R81,C,BAB,240,NA
R90,C,BAB,240,NA
R96,D,BAB,240,NA
R83,G,BAB,260,NA
R13,A,BAB,260,NA
R40,A,BAB,260,NA
R12,B,BAB,260,NA
R16,B,BAB,260,NA
R17,B,BAB,260,NA
R51,C,BAB,260,NA
R74,C,BAB,260,NA
R17,C,BAB,260,NA
R44,C,BAB,260,NA
R87,C,BAB,260,NA
R68,C,BAB,260,NA
R10,D,BAB,260,NA
R17,D,BAB,260,NA
R21,D,BAB,260,NA
R83,D,BAB,260,NA
R30,E,BAB,260,NA
R81,E,BAB,260,NA
R83,E,BAB,260,NA
R75,F,BAB,260,NA
R95,F,BAB,260,NA
R96,F,BAB,260,NA
R66,E,BAB,260,NA
R70,G,BAB,260,NA
R10,B,BAB,270,NA
R44,B,BAB,270,NA
R100,D,BAB,270,NA
R59,D,BAB,270,NA
R72,D,BAB,270,NA
R95,E,BAB,270,NA
R46,F,BAB,270,NA
R6,A,BAB,300,NA
R47,B,BAB,300,NA
R62,B,BAB,300,NA
R89,B,BAB,300,NA
R96,C,BAB,300,NA
R35,D,BAB,300,NA
R99,E,BAB,300,NA
R63,F,BAB,300,NA
R93,G,BAB,300,NA
R94,G,BAB,300,NA
R96,G,BAB,310,NA
R9,A,BAB,340,NA
R28,A,BAB,340,NA
R34,A,BAB,340,NA
R47,A,BAB,340,NA
R33,B,BAB,340,NA
R54,B,BAB,340,NA
R2,B,BAB,340,NA
R3,B,BAB,340,NA
R4,B,BAB,340,NA
R13,B,BAB,340,NA
R46,B,BAB,340,NA
R37,C,BAB,340,NA
R93,C,BAB,340,NA
R6,C,BAB,340,NA
R16,C,BAB,340,NA
R33,C,BAB,340,NA
R39,C,BAB,340,NA
R46,C,BAB,340,NA
R63,C,BAB,340,NA
R37,D,BAB,340,NA
R4,D,BAB,340,NA
R16,D,BAB,340,NA
R19,D,BAB,340,NA
R44,D,BAB,340,NA
R40,E,BAB,340,NA
R47,E,BAB,340,NA
R65,E,BAB,340,NA
R75,E,BAB,340,NA
R85,E,BAB,340,NA
R35,F,BAB,340,NA
R100,F,BAB,340,NA
R62,F,BAB,340,NA
R80,C,BAB,350,NA
R79,C,BAB,390,NA
R68,B,BAB,400,NA
R21,C,BAB,400,NA
R86,C,BAB,400,NA
R92,D,BAB,400,NA
R11,D,BAB,400,NA
R59,E,BAB,400,NA
R56,E,BAB,400,NA
R45,F,BAB,400,NA
R60,F,BAB,400,NA
R91,G,BAB,400,NA
R94,D,BAB,440,NA
R47,F,BAB,440,NA
R28,C,BAB,460,NA
R98,C,BAB,460,NA
R4,C,BAB,460,NA
R48,C,BAB,460,NA
R99,D,BAB,460,NA
R36,E,BAB,460,NA
R73,E,BAB,460,NA
R92,E,BAB,460,NA
R80,F,BAB,460,NA
R91,H,BAB,480,NA
R9,B,BAB,480,NA
R12,C,BAB,480,NA
R40,D,BAB,480,NA
R91,D,BAB,480,NA
R33,D,BAB,480,NA
R75,D,BAB,480,NA
R35,E,BAB,480,NA
R62,E,BAB,480,NA
R48,D,BAB,500,NA
R97,F,BAB,500,NA
R65,C,BAB,530,NA
R95,D,BAB,530,NA
R3,D,BAB,530,NA
R5,D,BAB,530,NA
R84,D,BAB,530,NA
R94,E,BAB,530,NA
R92,F,BAB,530,NA
R13,D,BAB,560,NA
R99,H,BAB,570,NA
R18,B,BAB,570,NA
R19,B,BAB,570,NA
R86,A,BAB,570,NA
R3,C,BAB,570,NA
R9,C,BAB,570,NA
R15,C,BAB,570,NA
R83,C,BAB,570,NA
R98,D,BAB,570,NA
R53,D,BAB,570,NA
R62,D,BAB,570,NA
R67,D,BAB,570,NA
R73,D,BAB,570,NA
R86,D,BAB,570,NA
R33,E,BAB,570,NA
R91,E,BAB,570,NA
R97,G,BAB,600,NA
R61,A,BAB,600,NA
R77,B,BAB,600,NA
R61,B,BAB,600,NA
R78,C,BAB,600,NA
R2,D,BAB,600,NA
R26,D,BAB,600,NA
R41,A,BAB,690,NA
R57,C,BAB,690,NA
R41,D,BAB,690,NA
R74,E,BAB,690,NA
R34,B,BAB,700,NA
R84,B,BAB,700,NA
R85,B,BAB,700,NA
R86,B,BAB,700,NA
R54,C,BAB,700,NA
R24,C,BAB,700,NA
R92,C,BAB,700,NA
R53,C,BAB,700,NA
R12,D,BAB,700,NA
R63,D,BAB,700,NA
R80,D,BAB,700,NA
R101,D,BAB,700,NA
R34,E,BAB,700,NA
R84,E,BAB,700,NA
R67,E,BAB,700,NA
R101,F,BAB,700,NA
R54,F,BAB,770,NA
R45,D,BAB,800,NA
R6,B,BAB,860,NA
R41,B,BAB,860,NA
R45,B,BAB,860,NA
R89,C,BAB,860,NA
R7,D,BAB,860,NA
R74,D,BAB,860,NA
R93,F,BAB,860,NA
R99,F,BAB,860,NA
R24,A,BAB,1100,NA
R51,A,BAB,1100,NA
R32,B,BAB,1100,NA
R39,B,BAB,1100,NA
R26,B,BAB,1100,NA
R41,C,BAB,1100,NA
R95,C,BAB,1100,NA
R62,C,BAB,1100,NA
R29,D,BAB,1100,NA
R24,D,BAB,1100,NA
R42,E,BAB,1100,NA
R45,E,BAB,1100,NA
R93,E,BAB,1100,NA
R97,E,BAB,1100,NA
R23,F,BAB,1100,NA
R19,C,BAB,1200,NA
R11,B,BAB,1400,NA
R40,B,BAB,1400,NA
R29,C,BAB,1400,NA
R42,C,BAB,1400,NA
R32,D,BAB,1400,NA
R39,D,BAB,1400,NA
R78,D,BAB,1400,NA
R85,D,BAB,1400,NA
R78,E,BAB,1400,NA
R102,E,BAB,1400,NA
R94,F,BAB,1400,NA
R35,B,BAB,1800,NA
R5,C,BAB,1800,NA
R66,D,BAB,1800,NA
R98,E,BAB,1800,NA
R97,C,BAB,2400,NA
R26,A,BAB,5000,NA
R42,B,BAB,5000,NA
R67,C,BAB,5000,NA
R102,C,BAB,5000,NA
R42,D,BAB,5000,NA
R54,D,BAB,5000,NA
R97,D,BAB,5000,NA
R51,D,BAB,5000,NA
R54,E,BAB,5000,NA
R42,F,BAB,5000,NA
R91,H,PSC,0.005,NA
R92,H,PSC,0.005,NA
R93,H,PSC,0.02,NA
R95,H,PSC,0.05,NA
R96,H,PSC,0.13,NA
R98,H,PSC,0.02,NA
R99,H,PSC,0.17,NA
R1,A,PSC,0.02,NA
R2,A,PSC,0.02,NA
R3,A,PSC,0.02,NA
R4,A,PSC,0.04,NA
R5,A,PSC,0.02,NA
R6,A,PSC,0.005,NA
R7,A,PSC,0.005,NA
R8,A,PSC,0.005,NA
R9,A,PSC,0.11,NA
R10,A,PSC,0.02,NA
R11,A,PSC,0.005,NA
R12,A,PSC,0.005,NA
R13,A,PSC,0.11,NA
R14,A,PSC,0.005,NA
R15,A,PSC,0.02,NA
R16,A,PSC,0.02,NA
R17,A,PSC,0.02,NA
R18,A,PSC,0.08,NA
R19,A,PSC,0.04,NA
R20,A,PSC,0.05,NA
R21,A,PSC,0.02,NA
R22,A,PSC,0.005,NA
R23,A,PSC,0.02,NA
R24,A,PSC,0.07,NA
R25,A,PSC,0.11,NA
R26,A,PSC,0.02,NA
R27,A,PSC,0.02,NA
R28,A,PSC,0.02,NA
R29,A,PSC,0.02,NA
R30,A,PSC,0.02,NA
R31,A,PSC,0.02,NA
R32,A,PSC,0.005,NA
R33,A,PSC,0.05,NA
R34,A,PSC,0.05,NA
R35,A,PSC,0.13,NA
R36,A,PSC,0.04,NA
R37,A,PSC,0.005,NA
R38,A,PSC,0.02,NA
R39,A,PSC,0.04,NA
R40,A,PSC,0.005,NA
R41,A,PSC,0.005,NA
R42,A,PSC,2.2,NA
R43,A,PSC,0.005,NA
R44,A,PSC,0.13,NA
R45,A,PSC,0.04,NA
R46,A,PSC,0.11,NA
R47,A,PSC,0.005,NA
R48,A,PSC,0.005,NA
R49,A,PSC,0,lab error
R50,A,PSC,0.07,NA
R51,A,PSC,0.49,NA
R52,A,PSC,0.08,NA
R53,A,PSC,0.05,NA
R54,A,PSC,0.02,NA
R55,A,PSC,0.02,NA
R56,A,PSC,0.005,NA
R57,A,PSC,0.005,NA
R58,A,PSC,0.02,NA
R59,A,PSC,0.02,NA
R60,A,PSC,0.07,NA
R61,A,PSC,0.08,NA
R62,A,PSC,0.02,NA
R63,A,PSC,0.005,NA
R64,A,PSC,0.005,NA
R65,A,PSC,0.005,NA
R66,A,PSC,0.005,NA
R67,A,PSC,0.11,NA
R68,A,PSC,0.17,NA
R69,A,PSC,0.005,NA
R70,B,PSC,0.005,NA
R71,B,PSC,0.05,NA
R72,B,PSC,0.005,NA
R73,B,PSC,0.05,NA
R74,B,PSC,0.13,NA
R75,B,PSC,0.08,NA
R36,B,PSC,0.005,NA
R51,B,PSC,0.05,NA
R76,B,PSC,0.05,NA
R77,B,PSC,0.005,NA
R1,B,PSC,0.005,NA
R2,B,PSC,0.02,NA
R3,B,PSC,0.02,NA
R4,B,PSC,0.005,NA
R5,B,PSC,0.02,NA
R6,B,PSC,0.33,NA
R7,B,PSC,0.05,NA
R8,B,PSC,0.08,NA
R9,B,PSC,0.05,NA
R10,B,PSC,0.05,NA
R11,B,PSC,0.08,NA
R12,B,PSC,0.02,NA
R13,B,PSC,0.09,NA
R39,B,PSC,0.07,NA
R40,B,PSC,0.02,NA
R41,B,PSC,0.02,NA
R44,B,PSC,0.07,NA
R45,B,PSC,0.08,NA
R46,B,PSC,0.005,NA
R47,B,PSC,0.005,NA
R48,B,PSC,0.005,NA
R49,B,PSC,0.05,NA
R78,B,PSC,0.04,NA
R79,B,PSC,0.005,NA
R80,B,PSC,0.005,NA
R14,B,PSC,0.005,NA
R15,B,PSC,0.02,NA
R16,B,PSC,0.17,plates had yeast
R18,B,PSC,0.08,NA
R19,B,PSC,0.23,NA
R20,B,PSC,0.02,NA
R21,B,PSC,0.005,NA
R22,B,PSC,0.005,NA
R23,B,PSC,0.02,NA
R24,B,PSC,0.005,NA
R25,B,PSC,0.02,NA
R26,B,PSC,0.05,NA
R27,B,PSC,0.17,NA
R28,B,PSC,0.05,NA
R50,B,PSC,0.05,NA
R55,B,PSC,0.005,NA
R58,B,PSC,0.005,NA
R59,B,PSC,0.05,NA
R60,B,PSC,0.13,NA
R61,B,PSC,0.02,NA
R62,B,PSC,0.17,NA
R63,B,PSC,0.07,NA
R65,B,PSC,0.06,NA
R66,B,PSC,0.005,NA
R86,A,PSC,0.005,NA
R68,B,PSC,0.005,NA
R69,B,PSC,0.005,NA
R81,B,PSC,0.23,NA
R82,B,PSC,0.05,NA
R83,B,PSC,0.23,NA
R84,B,PSC,5.4,NA
R85,B,PSC,0.02,NA
R86,B,PSC,0.04,NA
R87,B,PSC,0.06,NA
R88,B,PSC,0.005,NA
R89,B,PSC,0.79,NA
R90,B,PSC,0.08,NA
R29,C,PSC,0.04,NA
R30,C,PSC,16,NA
R31,C,PSC,0.02,NA
R32,C,PSC,0.07,NA
R35,C,PSC,0.04,NA
R36,C,PSC,0.05,NA
R37,C,PSC,0.005,NA
R38,C,PSC,18,NA
R42,C,PSC,2.4,NA
R54,C,PSC,0.49,NA
R70,C,PSC,0.02,NA
R71,C,PSC,0.02,NA
R22,C,PSC,0.005,NA
R23,C,PSC,0.005,NA
R24,C,PSC,0.02,NA
R25,C,PSC,0.005,NA
R26,C,PSC,0.005,NA
R27,C,PSC,0.005,NA
R28,C,PSC,0.02,NA
R34,C,PSC,0.09,NA
R40,C,PSC,0.04,NA
R41,C,PSC,0.07,NA
R51,C,PSC,0.005,NA
R72,C,PSC,0.02,NA
R73,C,PSC,0.005,NA
R74,C,PSC,0.05,NA
R75,C,PSC,0.07,NA
R91,C,PSC,0.005,NA
R92,C,PSC,0.005,NA
R93,C,PSC,0.02,NA
R94,C,PSC,0.02,NA
R95,C,PSC,0.17,NA
R96,C,PSC,0.02,NA
R97,C,PSC,0.005,NA
R98,C,PSC,0.02,NA
R99,C,PSC,0.05,NA
R100,C,PSC,0.07,NA
R1,C,PSC,0.04,NA
R2,C,PSC,0.09,NA
R3,C,PSC,0.02,NA
R4,C,PSC,0.08,NA
R5,C,PSC,0.11,NA
R6,C,PSC,0.02,NA
R7,C,PSC,0.005,NA
R8,C,PSC,1.3,NA
R9,C,PSC,0.09,NA
R10,C,PSC,0.07,NA
R11,C,PSC,0.02,NA
R12,C,PSC,0.05,NA
R13,C,PSC,0.14,NA
R14,C,PSC,0.02,NA
R15,C,PSC,0.02,NA
R16,C,PSC,0.05,NA
R17,C,PSC,0.13,NA
R18,C,PSC,0.02,NA
R19,C,PSC,0.005,NA
R20,C,PSC,0.005,NA
R21,C,PSC,0.08,NA
R33,C,PSC,0.02,NA
R39,C,PSC,0.005,NA
R52,C,PSC,0.005,NA
R53,C,PSC,0.005,NA
R44,C,PSC,0.04,NA
R45,C,PSC,0.05,NA
R46,C,PSC,0.04,NA
R47,C,PSC,0.02,NA
R48,C,PSC,0.23,NA
R49,C,PSC,0.09,NA
R50,C,PSC,0.02,NA
R57,C,PSC,0.02,NA
R58,C,PSC,0.005,NA
R59,C,PSC,0.02,NA
R60,C,PSC,0.11,NA
R61,C,PSC,0.11,NA
R62,C,PSC,0.14,NA
R63,C,PSC,0.02,NA
R65,C,PSC,0.06,NA
R78,C,PSC,0.17,NA
R79,C,PSC,0.22,NA
R80,C,PSC,0.17,NA
R81,C,PSC,0.11,NA
R82,C,PSC,0.33,NA
R83,C,PSC,0.33,NA
R84,C,PSC,0.33,NA
R87,C,PSC,0.46,NA
R88,C,PSC,0.07,NA
R89,C,PSC,1.1,NA
R56,C,PSC,0.02,NA
R67,C,PSC,0.05,NA
R68,C,PSC,0.02,NA
R69,C,PSC,0.005,NA
R77,C,PSC,0.005,NA
R85,C,PSC,0.05,NA
R86,C,PSC,0.49,NA
R90,C,PSC,0.02,NA
R101,C,PSC,0.33,NA
R102,C,PSC,0.49,NA
R29,D,PSC,0.02,NA
R30,D,PSC,0.05,NA
R31,D,PSC,0.08,NA
R32,D,PSC,3.5,NA
R35,D,PSC,0.07,NA
R36,D,PSC,0.05,NA
R37,D,PSC,0.005,NA
R38,D,PSC,0.02,NA
R39,D,PSC,0.17,NA
R40,D,PSC,0.07,NA
R41,D,PSC,0.005,NA
R42,D,PSC,9.2,NA
R54,D,PSC,0.08,NA
R70,D,PSC,0.02,NA
R71,D,PSC,0.005,NA
R91,D,PSC,0.05,NA
R92,D,PSC,0.08,NA
R93,D,PSC,0.08,NA
R94,D,PSC,0.79,NA
R95,D,PSC,0.13,NA
R96,D,PSC,0.13,NA
R97,D,PSC,0.13,NA
R98,D,PSC,0.17,NA
R99,D,PSC,0.27,NA
R100,D,PSC,0.05,NA
R1,D,PSC,0.02,NA
R2,D,PSC,0.02,NA
R3,D,PSC,0.02,NA
R4,D,PSC,0.02,NA
R5,D,PSC,0.02,NA
R6,D,PSC,0.06,NA
R7,D,PSC,0.05,NA
R8,D,PSC,0.02,NA
R9,D,PSC,0.08,NA
R10,D,PSC,0.005,NA
R11,D,PSC,0.005,NA
R12,D,PSC,0.02,NA
R13,D,PSC,0.08,NA
R14,D,PSC,0.005,NA
R15,D,PSC,0.08,NA
R16,D,PSC,0.005,NA
R17,D,PSC,0.02,NA
R18,D,PSC,0.005,NA
R19,D,PSC,0.13,NA
R20,D,PSC,0.005,NA
R21,D,PSC,0.04,NA
R22,D,PSC,0.04,NA
R23,D,PSC,0.04,NA
R24,D,PSC,0.22,NA
R25,D,PSC,0.02,NA
R26,D,PSC,0.02,NA
R27,D,PSC,0.13,NA
R28,D,PSC,0.005,NA
R33,D,PSC,0.07,NA
R44,D,PSC,0.17,NA
R45,D,PSC,0.005,NA
R46,D,PSC,0.11,NA
R47,D,PSC,0.005,NA
R48,D,PSC,0.49,NA
R49,D,PSC,0.02,NA
R51,D,PSC,0.23,NA
R53,D,PSC,0.23,NA
R56,D,PSC,0.02,NA
R58,D,PSC,0.005,NA
R59,D,PSC,0.005,NA
R60,D,PSC,0.02,NA
R61,D,PSC,0.02,NA
R62,D,PSC,0.02,NA
R63,D,PSC,0.05,NA
R65,D,PSC,0.05,NA
R66,D,PSC,0.005,NA
R67,D,PSC,0.02,NA
R68,D,PSC,0.005,NA
R69,D,PSC,0.005,NA
R72,D,PSC,0.005,NA
R73,D,PSC,0.005,NA
R74,D,PSC,0.02,NA
R75,D,PSC,0.08,NA
R76,D,PSC,0.005,NA
R77,D,PSC,0.005,NA
R78,D,PSC,0.05,NA
R79,D,PSC,0.04,NA
R80,D,PSC,0.05,NA
R83,D,PSC,0.02,NA
R84,D,PSC,0.05,NA
R85,D,PSC,0.21,NA
R86,D,PSC,0.07,NA
R87,D,PSC,0.02,NA
R88,D,PSC,0.005,NA
R89,D,PSC,0.08,NA
R90,D,PSC,0.05,NA
R101,D,PSC,0.23,NA
R76,C,PSC,0.02,NA
R29,E,PSC,0.02,NA
R30,E,PSC,0.005,NA
R31,E,PSC,0.005,NA
R32,E,PSC,0.005,NA
R33,E,PSC,0.06,NA
R34,E,PSC,0.13,NA
R35,E,PSC,0.08,NA
R36,E,PSC,0.02,NA
R37,E,PSC,0.005,NA
R38,E,PSC,0.04,NA
R39,E,PSC,0.005,NA
R40,E,PSC,0.17,NA
R42,E,PSC,0.49,NA
R44,E,PSC,0.07,NA
R45,E,PSC,0.005,NA
R46,E,PSC,0.27,NA
R47,E,PSC,0.09,NA
R48,E,PSC,5.4,NA
R49,E,PSC,2.4,NA
R50,E,PSC,2.8,NA
R53,E,PSC,0.04,NA
R54,E,PSC,0.005,NA
R55,E,PSC,0.02,NA
R58,E,PSC,0.31,NA
R59,E,PSC,0.05,NA
R60,E,PSC,0.07,NA
R61,E,PSC,0.02,NA
R62,E,PSC,0.05,NA
R63,E,PSC,0.08,NA
R65,E,PSC,0.005,NA
R70,E,PSC,0.005,NA
R71,E,PSC,0.02,NA
R72,E,PSC,0.005,NA
R73,E,PSC,0.005,NA
R74,E,PSC,0.06,NA
R75,E,PSC,0.005,NA
R78,E,PSC,0.09,NA
R79,E,PSC,0.02,NA
R80,E,PSC,0.005,NA
R81,E,PSC,0.05,NA
R83,E,PSC,0.13,NA
R84,E,PSC,0.13,NA
R87,E,PSC,0.005,NA
R88,E,PSC,0.005,NA
R89,E,PSC,0.33,NA
R90,E,PSC,0.33,NA
R91,E,PSC,0.11,NA
R92,E,PSC,0.27,NA
R93,E,PSC,0.02,NA
R82,E,PSC,0.005,NA
R56,E,PSC,0.005,NA
R67,E,PSC,0.08,NA
R68,E,PSC,0.02,NA
R69,E,PSC,0.005,NA
R76,E,PSC,0.005,NA
R77,E,PSC,0.02,NA
R85,E,PSC,0.02,NA
R86,E,PSC,0.11,NA
R94,E,PSC,0.005,NA
R95,E,PSC,0.05,NA
R96,E,PSC,0.02,NA
R97,E,PSC,0.02,NA
R98,E,PSC,0.23,NA
R99,E,PSC,0.005,NA
R100,E,PSC,0.02,NA
R101,E,PSC,0.13,NA
R102,E,PSC,9.2,NA
R29,F,PSC,0.005,NA
R30,F,PSC,0.005,NA
R31,F,PSC,0.005,NA
R32,F,PSC,0.005,NA
R34,F,PSC,0.33,NA
R35,F,PSC,0.13,NA
R36,F,PSC,0.02,NA
R37,F,PSC,0.02,NA
R1,F,PSC,0.005,NA
