FarmID,Farm ID,Sampling,Test,GreaterLess,Concentration (unedited),Concentration,Micro Notes
R1,1,A,MSC,,1.5,1.5,
R2,2,A,MSC,>,250,250,TNTC
R3,3,A,MSC,,8.5,8.5,
R4,4,A,MSC,,3.5,3.5,
R5,5,A,MSC,>,250,250,TNTC
R6,6,A,MSC,,1.5,1.5,
R7,7,A,MSC,,0.5,0.5,
R8,8,A,MSC,,1.5,1.5,
R9,9,A,MSC,,2.5,2.5,
R10,10,A,MSC,,5.5,5.5,
R11,11,A,MSC,,11.5,11.5,
R12,12,A,MSC,,98.5,98.5,
R13,13,A,MSC,,3,3,
R14,14,A,MSC,,2,2,
R15,15,A,MSC,,6.5,6.5,
R16,16,A,MSC,,0.5,0.5,
R17,17,A,MSC,,3.5,3.5,
R18,18,A,MSC,,49.5,49.5,
R19,19,A,MSC,,4.5,4.5,
R20,20,A,MSC,,2.5,2.5,
R21,21,A,MSC,,4.5,4.5,
R22,22,A,MSC,,0.5,0.5,
R23,23,A,MSC,,6,6,
R24,24,A,MSC,,10.5,10.5,
R25,25,A,MSC,,2.5,2.5,
R1,1,A,TSC,,1,1,
R2,2,A,TSC,,0.5,0.5,
R3,3,A,TSC,,11,11,
R4,4,A,TSC,,2.5,2.5,
R5,5,A,TSC,,5.5,5.5,
R6,6,A,TSC,,1,1,
R7,7,A,TSC,,1,1,
R8,8,A,TSC,,0.5,0.5,
R9,9,A,TSC,,1.5,1.5,
R10,10,A,TSC,,1.5,1.5,
R11,11,A,TSC,,5.5,5.5,
R12,12,A,TSC,,0.5,0.5,
R13,13,A,TSC,,1.5,1.5,
R14,14,A,TSC,,3,3,
R15,15,A,TSC,,6.5,6.5,
R16,16,A,TSC,,2.5,2.5,
R17,17,A,TSC,,3.5,3.5,
R18,18,A,TSC,,25.5,25.5,
R21,21,A,TSC,,1.5,1.5,
R19,19,A,TSC,,6,6,
R20,20,A,TSC,,3,3,
R22,22,A,TSC,,1,1,
R23,23,A,TSC,,3,3,
R24,24,A,TSC,,9.5,9.5,
R25,25,A,TSC,,6,6,
R26,26,A,MSC,,2,2,
R27,27,A,MSC,<,0.5,0.125,
R28,28,A,MSC,,11.5,11.5,
R29,29,A,MSC,,1,1,
R30,30,A,MSC,,4,4,
R31,31,A,MSC,,2.5,2.5,
R32,32,A,MSC,,2.5,2.5,
R33,33,A,MSC,,11.5,11.5,
R34,34,A,MSC,,17,17,
R35,35,A,MSC,,19,19,
R36,36,A,MSC,,11.5,11.5,
R37,37,A,MSC,,4.5,4.5,
R38,38,A,MSC,,4.5,4.5,
R39,39,A,MSC,,2.5,2.5,
R40,40,A,MSC,,15,15,
R41,41,A,MSC,,3,3,
R42,42,A,MSC,,54.5,54.5,
R43,43,A,MSC,,10,10,
R44,44,A,MSC,,28,28,
R45,45,A,MSC,,8,8,
R46,46,A,MSC,,27.5,27.5,
R47,47,A,MSC,,6,6,
R48,48,A,MSC,,34,34,
R49,49,A,MSC,,9.5,9.5,
R50,50,A,MSC,,4,4,
R26,26,A,TSC,<,0.5,0.125,
R27,27,A,TSC,<,0.5,0.125,
R28,28,A,TSC,,4,4,
R29,29,A,TSC,<,0.5,0.125,
R30,30,A,TSC,,11,11,
R31,31,A,TSC,,1.5,1.5,
R32,32,A,TSC,<,0.5,0.125,
R33,33,A,TSC,,6,6,
R34,34,A,TSC,,16,16,
R35,35,A,TSC,,21,21,
R36,36,A,TSC,,1.5,1.5,
R37,37,A,TSC,,1.5,1.5,
R38,38,A,TSC,,4,4,
R39,39,A,TSC,,4,4,
R40,40,A,TSC,,9,9,
R41,41,A,TSC,,1,1,
R42,42,A,TSC,,111,111,
R43,43,A,TSC,,6,6,
R44,44,A,TSC,,19,19,
R45,45,A,TSC,,10,10,Estimated
R46,46,A,TSC,,2,2,
R47,47,A,TSC,,10.5,10.5,
R48,48,A,TSC,,25,25,
R49,49,A,TSC,,4.5,4.5,
R50,50,A,TSC,,2,2,
R53,53,A,MSC,,1,1,
R52,52,A,MSC,,1,1,
R51,51,A,MSC,,0.5,0.5,
R56,56,A,MSC,,0.5,0.5,
R55,55,A,MSC,,0.5,0.5,
R54,54,A,MSC,,1,1,
R58,58,A,MSC,,0.5,0.5,
R57,57,A,MSC,,1,1,
R59,59,A,MSC,,8,8,
R60,60,A,MSC,,10,10,
R61,61,A,MSC,,12,12,
R62,62,A,MSC,,6.5,6.5,
R63,63,A,MSC,<,0.5,0.125,
R64,64,A,MSC,<,0.5,0.125,
R65,65,A,MSC,,0.5,0.5,
R66,66,A,MSC,<,0.5,0.125,
R67,67,A,MSC,,5.5,5.5,
R68,68,A,MSC,,3.5,3.5,
R69,69,A,MSC,<,0.5,0.125,
R70,70,B,MSC,<,0.5,0.125,
R71,71,B,MSC,,3,3,
R72,72,B,MSC,,3.5,3.5,
R73,73,B,MSC,,8.5,8.5,
R74,74,B,MSC,,13,13,
R75,75,B,MSC,,6,6,
R51,51,A,TSC,<,0.5,0.125,
R52,52,A,TSC,<,0.5,0.125,
R53,53,A,TSC,,1.5,1.5,
R54,54,A,TSC,<,0.5,0.125,
R55,55,A,TSC,,5,5,
R56,56,A,TSC,<,0.5,0.125,
R57,57,A,TSC,,0.5,0.5,
R58,58,A,TSC,<,0.5,0.125,
R59,59,A,TSC,,3,3,
R60,60,A,TSC,,29,29,
R61,61,A,TSC,,8,8,
R62,62,A,TSC,,14.5,14.5,
R63,63,A,TSC,,2.5,2.5,
R64,64,A,TSC,<,0.5,0.125,
R65,65,A,TSC,,0.5,0.5,
R66,66,A,TSC,<,0.5,0.125,
R67,67,A,TSC,<,0.5,0.125,
R68,68,A,TSC,,0.5,0.5,
R69,69,A,TSC,<,0.5,0.125,
R70,70,B,TSC,,1.5,1.5,
R71,71,B,TSC,,0.5,0.5,
R72,72,B,TSC,,1,1,
R73,73,B,TSC,,4,4,
R74,74,B,TSC,,4.5,4.5,
R75,75,B,TSC,,4,4,
R29,29,B,TSC,<,0.5,0.125,
R30,30,B,TSC,,12.5,12.5,
R31,31,B,TSC,,4.5,4.5,
R32,32,B,TSC,,0.5,0.5,
R33,33,B,TSC,,5,5,
R34,34,B,TSC,,23,23,
R35,35,B,TSC,,16,16,
R37,37,B,TSC,,2.5,2.5,
R38,38,B,TSC,,5,5,
R42,42,B,TSC,,9,9,
R53,53,B,TSC,,7.5,7.5,
R54,54,B,TSC,,5,5,
R29,29,B,MSC,,1.5,1.5,
R30,30,B,MSC,,20.5,20.5,
R31,31,B,MSC,,3.5,3.5,
R32,32,B,MSC,,0.5,0.5,
R33,33,B,MSC,,6,6,
R34,34,B,MSC,,25.5,25.5,
R35,35,B,MSC,,14,14,
R37,37,B,MSC,,15.5,15.5,
R38,38,B,MSC,,3.5,3.5,
R42,42,B,MSC,,37,37,
R53,53,B,MSC,,16,16,
R54,54,B,MSC,,4.5,4.5,
R36,36,B,MSC,<,0.5,0.125,
R51,51,B,MSC,,4.5,4.5,
R76,76,B,MSC,<,0.5,0.125,
R77,77,B,MSC,,3.5,3.5,
R36,36,B,TSC,,1,1,
R51,51,B,TSC,,4,4,
R76,76,B,TSC,,0.5,0.5,
